ORIGIN;DEST;DEPARTURE DATE;DEPARTURE TIME;BOOKING CLASS;FARE;DAYS TO DEPARTURE;# BOOKINGS (net)
BER;DUS;2014-01-21;940;B;94;355;0
BER;DUS;2014-01-21;940;B;94;204;0
BER;DUS;2014-01-21;940;E;44;355;0
BER;DUS;2014-01-21;940;E;44;204;0
BER;DUS;2014-01-21;940;I;84;355;0
BER;DUS;2014-01-21;940;I;84;204;0
BER;DUS;2014-01-21;940;J;194;355;0
BER;DUS;2014-01-21;940;J;194;204;0
BER;DUS;2014-01-21;940;J;194;41;1
BER;DUS;2014-01-21;940;K;114;355;0
BER;DUS;2014-01-21;940;K;114;204;0
BER;DUS;2014-01-21;940;L;64;355;0
BER;DUS;2014-01-21;940;L;64;204;0
BER;DUS;2014-01-21;940;M;224;355;0
BER;DUS;2014-01-21;940;M;224;204;0
BER;DUS;2014-01-21;940;N;164;355;0
BER;DUS;2014-01-21;940;N;164;204;0
BER;DUS;2014-01-21;940;R;264;355;0
BER;DUS;2014-01-21;940;R;264;204;0
BER;DUS;2014-01-21;940;T;74;355;0
BER;DUS;2014-01-21;940;T;74;204;0
BER;DUS;2014-01-21;940;V;54;355;0
BER;DUS;2014-01-21;940;V;54;204;0
BER;DUS;2014-01-21;940;Z;134;355;0
BER;DUS;2014-01-21;940;Z;134;204;0
BER;BOB;2014-01-21;940;B;95;204;0
BER;BOB;2014-01-21;940;E;45;204;0
BER;BOB;2014-01-21;940;I;85;204;0
BER;BOB;2014-01-21;940;J;145;204;0
BER;BOB;2014-01-21;940;K;105;204;0
BER;BOB;2014-01-21;940;L;65;204;1
BER;BOB;2014-01-21;940;M;165;204;0
BER;BOB;2014-01-21;940;N;125;204;0
BER;BOB;2014-01-21;940;R;185;204;0
BER;BOB;2014-01-21;940;T;75;204;0
BER;BOB;2014-01-21;940;V;55;204;0
BER;BOB;2014-01-21;940;Z;115;355;0
BER;BOB;2014-01-21;940;Z;115;204;0
BER;DUS;2014-01-21;940;J;194;1;2
BER;DUS;2014-01-21;940;N;164;1;7
